algoritmo,n,tipo,dominio,muestra,tiempo_us,memoria_kb
mergeSort,1000,ascendente,D7,a,34,3336
quickSort,1000,ascendente,D7,a,6,3436
patienceSort,1000,ascendente,D7,a,109,3448
sort,1000,ascendente,D7,b,7,3436
mergeSort,1000,ascendente,D7,b,14,3432
quickSort,1000,ascendente,D7,b,6,3336
patienceSort,1000,ascendente,D7,b,99,3464
sort,1000,ascendente,D7,c,12,3436
mergeSort,1000,ascendente,D7,c,14,3376
quickSort,1000,ascendente,D7,c,6,3432
patienceSort,1000,ascendente,D7,c,173,3560
sort,1000,descendente,D1,a,35,3436
mergeSort,1000,descendente,D1,a,29,3436
quickSort,1000,descendente,D1,a,12,3336
patienceSort,1000,descendente,D1,a,12,3436
sort,1000,descendente,D1,b,8,3328
mergeSort,1000,descendente,D1,b,20,3320
quickSort,1000,descendente,D1,b,13,3436
patienceSort,1000,descendente,D1,b,12,3436
sort,1000,descendente,D1,c,10,3332
mergeSort,1000,descendente,D1,c,18,3376
quickSort,1000,descendente,D1,c,21,3428
patienceSort,1000,descendente,D1,c,11,3376
sort,1000,descendente,D7,a,15,3436
mergeSort,1000,descendente,D7,a,15,3436
quickSort,1000,descendente,D7,a,11,3332
patienceSort,1000,descendente,D7,a,17,3436
sort,1000,descendente,D7,b,5,3432
mergeSort,1000,descendente,D7,b,14,3428
quickSort,1000,descendente,D7,b,7,3380
patienceSort,1000,descendente,D7,b,11,3436
sort,1000,descendente,D7,c,7,3432
mergeSort,1000,descendente,D7,c,32,3436
quickSort,1000,descendente,D7,c,9,3328
patienceSort,1000,descendente,D7,c,11,3432
sort,10,aleatorio,D1,a,2,3436
mergeSort,10,aleatorio,D1,a,4,3436
quickSort,10,aleatorio,D1,a,4,3376
patienceSort,10,aleatorio,D1,a,4,3324
sort,10,aleatorio,D1,b,2,3436
mergeSort,10,aleatorio,D1,b,3,3436
quickSort,10,aleatorio,D1,b,3,3324
patienceSort,10,aleatorio,D1,b,66,3332
